x,y(x),LTE,GTE
2.000000,0.000000,0.000000,0.000000
3.000000,0.568373,0.074274,0.074274
4.000000,1.257302,0.054719,0.128993
5.000000,1.952699,0.045869,0.174862
6.000000,2.624072,0.040937,0.215799
7.000000,3.263640,0.037511,0.253311
8.000000,3.870743,0.034829,0.288140
9.000000,4.447071,0.032602,0.320742
10.000000,4.995002,0.030693,0.351435
11.000000,5.516997,0.029027,0.380463
12.000000,6.015373,0.027555,0.408017
