x,y(x),LTE,GTE
2.000000,0.000000,0.000000,0.000000
3.000000,0.636032,0.006615,0.006615
4.000000,1.375390,0.004290,0.010905
5.000000,2.112826,0.003831,0.014735
6.000000,2.821606,0.003530,0.018266
7.000000,3.495408,0.003277,0.021542
8.000000,4.134284,0.003056,0.024599
9.000000,4.740349,0.002864,0.027463
10.000000,5.316278,0.002696,0.030159
11.000000,5.864752,0.002548,0.032707
12.000000,6.388267,0.002416,0.035124
